File_1,File_2,Label,Clone_type
submission88.py,submission91.py,0,0
submission89.py,submission91.py,0,0
submission90.py,submission91.py,0,0
submission92.py,submission94.py,0,0
submission93.py,submission94.py,0,0
submission92.py,submission95.py,0,0
submission93.py,submission95.py,0,0
submission94.py,submission95.py,1,3
submission92.py,submission96.py,0,0
submission93.py,submission96.py,0,0
submission94.py,submission96.py,0,0
submission95.py,submission96.py,0,0
submission97.py,submission98.py,0,0
submission97.py,submission99.py,0,0
submission98.py,submission99.py,0,0
submission97.py,submission100.py,0,0
submission98.py,submission100.py,0,0
submission99.py,submission100.py,0,0
submission97.py,submission101.py,0,0
submission98.py,submission101.py,0,0
submission99.py,submission101.py,0,0
submission100.py,submission101.py,0,0
submission102.py,submission103.py,1,2
submission102.py,submission104.py,1,2
submission103.py,submission104.py,1,3
submission102.py,submission105.py,1,3
submission103.py,submission105.py,1,3
submission104.py,submission105.py,1,3
submission102.py,submission106.py,0,0
submission103.py,submission106.py,0,0
submission104.py,submission106.py,0,0
submission105.py,submission106.py,0,0
submission107.py,submission108.py,1,3
submission107.py,submission109.py,1,3
submission108.py,submission109.py,0,0
submission107.py,submission110.py,1,3
submission108.py,submission110.py,1,3
submission109.py,submission110.py,0,0
submission107.py,submission111.py,0,0
submission108.py,submission111.py,0,0
submission109.py,submission111.py,0,0
submission110.py,submission111.py,0,0
submission112.py,submission113.py,1,2
submission112.py,submission114.py,1,3
submission113.py,submission114.py,1,3
submission112.py,submission115.py,1,2
submission113.py,submission115.py,1,2
submission114.py,submission115.py,1,3
submission112.py,submission116.py,1,3
submission113.py,submission116.py,1,3
submission114.py,submission116.py,0,0
submission115.py,submission116.py,1,3
submission117.py,submission118.py,1,3
submission117.py,submission119.py,0,0
submission118.py,submission119.py,0,0
submission117.py,submission120.py,0,0
submission118.py,submission120.py,0,0
submission119.py,submission120.py,0,0
submission117.py,submission121.py,0,0
submission118.py,submission121.py,0,0
submission119.py,submission121.py,0,0
submission120.py,submission121.py,0,0
submission122.py,submission123.py,1,3
submission122.py,submission124.py,1,3
submission123.py,submission124.py,0,0
submission122.py,submission125.py,1,3
submission123.py,submission125.py,0,0
submission124.py,submission125.py,0,0
submission122.py,submission126.py,0,0
submission123.py,submission126.py,0,0
submission124.py,submission126.py,0,0
submission125.py,submission126.py,0,0
submission127.py,submission128.py,1,3
submission127.py,submission129.py,1,3
submission128.py,submission129.py,1,3
submission127.py,submission130.py,1,3
submission128.py,submission130.py,1,3
submission129.py,submission130.py,1,3
submission127.py,submission131.py,0,0
submission128.py,submission131.py,0,0
submission129.py,submission131.py,1,3
submission130.py,submission131.py,1,3
submission132.py,submission133.py,1,1
submission132.py,submission134.py,0,0
submission133.py,submission134.py,0,0
submission132.py,submission135.py,1,2
submission133.py,submission135.py,1,2
submission134.py,submission135.py,0,0
submission132.py,submission136.py,0,0
submission133.py,submission136.py,0,0
submission134.py,submission136.py,0,0
submission135.py,submission136.py,0,0
submission137.py,submission138.py,1,3
submission137.py,submission139.py,0,0
submission138.py,submission139.py,1,3
submission137.py,submission140.py,1,3
submission138.py,submission140.py,0,0
submission139.py,submission140.py,0,0
submission137.py,submission141.py,0,0
submission138.py,submission141.py,0,0
submission139.py,submission141.py,0,0
submission139.py,submission150.py,1,2
submission140.py,submission141.py,0,0
submission142.py,submission143.py,1,3
submission142.py,submission144.py,1,3
submission143.py,submission144.py,1,3
submission142.py,submission145.py,1,3
submission143.py,submission145.py,1,3
submission144.py,submission145.py,1,1
submission142.py,submission146.py,1,3
submission143.py,submission146.py,0,0
submission144.py,submission146.py,0,0
submission145.py,submission146.py,0,0
submission147.py,submission148.py,1,2
submission148.py,submission149.py,1,1
submission131.py,submission151.py,1,2
submission119.py,submission152.py,1,2
submission130.py,submission153.py,1,2
submission142.py,submission154.py,1,2
submission145.py,submission155.py,1,2
submission147.py,submission156.py,1,2
submission122.py,submission157.py,1,2
submission115.py,submission158.py,1,2
submission105.py,submission159.py,1,2
submission87.py,submission160.py,1,2
submission131.py,submission161.py,1,2
submission162.py,submission163.py,1,2
submission162.py,submission164.py,1,2
submission162.py,submission164.py,1,2
submission162.py,submission165.py,1,2
submission163.py,submission164.py,1,2
submission163.py,submission165.py,1,2
submission164.py,submission165.py,1,2
submission166.py,submission167.py,1,2
submission166.py,submission168.py,1,2
submission166.py,submission169.py,1,2
submission167.py,submission168.py,1,2
submission167.py,submission169.py,1,2
submission168.py,submission169.py,1,2
submission170.py,submission171.py,1,2
submission170.py,submission172.py,1,2
submission170.py,submission173.py,1,2
submission170.py,submission174.py,1,2
submission171.py,submission172.py,1,2
submission171.py,submission173.py,1,2
submission171.py,submission174.py,1,2
submission172.py,submission173.py,1,2
submission172.py,submission174.py,1,2
submission173.py,submission174.py,1,2
submission175.py,submission176.py,1,1
submission177.py,submission178.py,1,1
submission179.py,submission180.py,1,1
submission181.py,submission182.py,1,1
submission183.py,submission184.py,1,1
submission185.py,submission186.py,1,1
submission187.py,submission188.py,1,1
submission189.py,submission190.py,1,1
submission191.py,submission192.py,1,1
submission193.py,submission194.py,1,1
submission195.py,submission196.py,1,1
submission197.py,submission198.py,1,1
submission199.py,submission200.py,1,1
submission201.py,submission202.py,1,1
submission203.py,submission204.py,1,1
submission205.py,submission206.py,1,1
submission207.py,submission208.py,1,1
submission209.py,submission210.py,1,1
submission211.py,submission212.py,1,1
submission213.py,submission214.py,1,1
submission215.py,submission216.py,1,1
submission217.py,submission218.py,1,1
submission219.py,submission220.py,1,1
submission221.py,submission222.py,1,1
submission223.py,submission224.py,1,1
submission225.py,submission226.py,1,1
submission227.py,submission228.py,1,1
submission229.py,submission230.py,1,1
submission231.py,submission232.py,1,1
submission233.py,submission234.py,1,1
submission235.py,submission236.py,1,1
submission237.py,submission238.py,1,1
submission239.py,submission240.py,1,1
submission241.py,submission242.py,1,1
submission243.py,submission244.py,1,1
submission245.py,submission246.py,1,1
submission247.py,submission248.py,1,1
submission249.py,submission250.py,1,1
submission251.py,submission252.py,1,1
submission253.py,submission254.py,1,1
submission255.py,submission256.py,1,1
submission257.py,submission258.py,1,1
submission259.py,submission260.py,1,1
submission261.py,submission262.py,1,1
submission263.py,submission264.py,1,1
submission265.py,submission266.py,1,1
submission267.py,submission268.py,1,1
submission269.py,submission270.py,1,1
submission271.py,submission272.py,1,1
submission273.py,submission274.py,1,1
submission275.py,submission276.py,1,1
submission277.py,submission278.py,1,1
submission279.py,submission280.py,1,1
submission281.py,submission282.py,1,3
submission283.py,submission284.py,1,3
submission285.py,submission286.py,1,3
submission287.py,submission288.py,1,3
submission289.py,submission290.py,1,3
submission291.py,submission292.py,1,3
submission293.py,submission294.py,1,3
submission295.py,submission296.py,1,3
submission297.py,submission298.py,1,3
submission299.py,submission300.py,1,3
submission301.py,submission302.py,1,3
submission303.py,submission304.py,1,3
submission305.py,submission306.py,1,3
submission307.py,submission308.py,1,1
submission309.py,submission310.py,1,3
submission311.py,submission312.py,1,3
submission313.py,submission314.py,1,3
submission315.py,submission316.py,1,3
submission317.py,submission318.py,1,3
submission319.py,submission320.py,1,3
submission321.py,submission322.py,1,3
submission323.py,submission324.py,1,3
submission325.py,submission326.py,1,3
submission327.py,submission328.py,1,3
submission329.py,submission330.py,1,3
